Source_Label	Source_Path	Conversion_Label	Conversion_Singer	Start_Index	End_Index
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	ADIZ	0	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	JLEE	1	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	JTAN	2	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	KENN	3	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	MCUR	4	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	MPOL	5	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	MPUR	6	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	NJAT	7	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	PMAR	8	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	SAMF	9	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	VKOW	10	3000	4280
ADIZ_01	C:/Pattern/PN.Pattern.NUS48E/NUS48E.ADIZ01.PICKLE	ZHIY	11	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	ADIZ	0	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	JLEE	1	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	JTAN	2	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	KENN	3	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	MCUR	4	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	MPOL	5	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	MPUR	6	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	NJAT	7	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	PMAR	8	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	SAMF	9	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	VKOW	10	3000	4280
JLEE_05	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JLEE05.PICKLE	ZHIY	11	3000	4280
JTAN_07	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JTAN07.PICKLE	ADIZ	0	3000	4280
JTAN_07	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JTAN07.PICKLE	JLEE	1	3000	4280
JTAN_07	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JTAN07.PICKLE	JTAN	2	3000	4280
JTAN_07	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JTAN07.PICKLE	KENN	3	3000	4280
JTAN_07	C:/Pattern/PN.Pattern.NUS48E/NUS48E.JTAN07.PICKLE	MCUR	4	3000	4280
